App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app152	excellent clothes; and, 	excellent clothes; and, 	excellent clothes; and, 	excel <lb n="c57-0017__main__8"/> lent clothes and 	excellent clothes; and, 
C18_app153	still 	still 	still 	still 	still 
C18_app154	more, 	more, 	more, 	more 	more, 
C18_app155	they 	they 	they 	they 	they 
C18_app156	enjoyed 	enjoyed 	enjoyed 	enjoy <lb n="c57-0017__main__9"/> ed 	enjoyed 
C18_app157	one 	one 	one 	one 	one 
C18_app158	another’s 	another’s 	another’s 	anothers 	another’s 
C18_app159	company and 	company and 	company and 	company & 	company and 
C18_app160	speech, interchanging 	speech, interchanging 	speech, interchanging 	speech — and <del rend="strikethrough" sID="c57-0017__main__d3e3528"/>saw<del eID="c57-0017__main__d3e3528"/><lb n="c57-0017__main__10"/><lb n="c57-0017__left_margin__1"/>interchanged 	speech, interchanging 
C18_app161	each day looks of affection and 	each day looks of affection and 	each day looks of affection and 	each day looks of affection & 	each day looks of affection and 
C18_app162	kindness. 	kindness. 	kindness. 	kindness– <lb n="c57-0017__main__11"/> 	kindness. 
C18_app163	What did their tears 	What did their tears 	What did their tears 	What did their tears 	What did their tears 
C18_app164	imply? 	imply? 	imply? 	mean? 	imply? 
C18_app165	Did they 	Did they 	Did they 	Did they 	Did they 
C18_app166				<lb n="c57-0017__main__12"/> 	
C18_app167	really express pain? I was at first 	really express pain? I was at first 	really express pain? I was at first 	really express pain? I was at first 	really express pain? I was at first 
C18_app168				<lb n="c57-0017__main__13"/> 	
C18_app169	unable to solve these 	unable to solve these 	unable to solve these 	unable to solve these 	unable to solve these 
C18_app170	questions; 	questions; 	questions; 	questions 	questions; 
C18_app171	but 	but 	but 	but 	but 
C18_app172				<lb n="c57-0017__main__14"/> 	
C18_app173	perpetual 	perpetual 	perpetual 	perpetual 	perpetual 
C18_app174	attention, 	attention 	attention 	attention 	attention, 
C18_app175	and 	and 	and 	and 	and 
C18_app176	time, 	time 	time 	time 	time, 
C18_app177				<lb n="c57-0017__main__15"/> 	
C18_app178	explained to me many 	explained to me many 	explained to me many 	explained to me many 	explained to me many 
C18_app179	appearances 	appearances 	appearances 	of the appear <lb n="c57-0017__main__16"/> ances 	appearances 
C18_app180	which 	which 	which 	which 	which 
C18_app181	were 	were 	were 		were 
C18_app182	at first 	at first 	at first 	at first 	at first 
C18_app183	enigmatic.<p eID="novel1_letter4_chapter11_div4_div12_p4"/><p sID="novel1_letter4_chapter11_div4_div12_p5"/><pb n="056" xml:id="F1818_v2_060"/>“A 	enigmatic.<p eID="novel1_letter4_chapter11_div4_div11_p4"/><p sID="novel1_letter4_chapter11_div4_div11_p5"/><pb n="237" xml:id="F1823_v1_256"/>“A 	enigmatic.<p eID="novel1_letter4_chapter12_div4_div12_p4"/><p sID="novel1_letter4_chapter12_div4_div12_p5"/>“A 	seemed <lb n="c57-0017__main__17"/><del rend="strikethrough" sID="c57-0017__main__d3e3560"/>igmmatic<del eID="c57-0017__main__d3e3560"/>enigmatic. <note resp="#pbs"/>o you pretty Pecksie!<lb n="c57-0018__main__1"/><milestone spanTo="#c57-0018.05" unit="tei:head"/>Chap. 3<lb n="c57-0018__main__2"/><del rend="strikethrough" sID="c57-0018__main__d3e3588"/>It was some time<del eID="c57-0018__main__d3e3588"/><metamark function="insert">^</metamark>A 	enigmatic.<p eID="novel1_letter4_chapter11_div4_div12_p4"/><p sID="novel1_letter4_chapter11_div4_div12_p5"/><pb n="056" xml:id="F1818_v2_060"/>“A 
C18_app184	considerable period elapsed before I discovered one of the causes of the uneasiness of this amiable 	considerable period elapsed before I discovered one of the causes of the uneasiness of this amiable 	considerable period elapsed before I discovered one of the causes of the uneasiness of this amiable 	considerable period elapsed before I discovered one <lb n="c57-0018__main__3"/><lb n="c57-0018__left_margin__1"/>of the causes of the uneasiness of this amiable 	considerable period elapsed before I discovered one of the causes of the uneasiness of this amiable 
C18_app185	family; 	family: 	family: 	<lb n="c57-0018__main__4"/> family – <mdel>It</mdel><del rend="strikethrough" sID="c57-0018__main__d3e3624"/>Itw<del eID="c57-0018__main__d3e3624"/><metamark function="insert">^</metamark>It 	family; 
C18_app186	it 	it 	it 		it 
C18_app187	was 	was 	was 	was 	was 
C18_app188	poverty: 	poverty; 	poverty; 	poverty– 	poverty: 
C18_app189	and 	and 	and 	and 	<del sID="novel1_letter4_chapter11_div4_div12_p5_del1"/>and 
C18_app190	they suffered 	they suffered 	they suffered 	they suffered 	they suffered 
C18_app191				<lb n="c57-0018__main__5"/> 	
C18_app192	that evil in a very distressing 	that evil in a very distressing 	that evil in a very distressing 	that evil in a very distressing 	that evil in a very distressing 
C18_app193	degree. 	degree. 	degree. 	degree– Dur <lb n="c57-0018__main__6"/> ring 	degree.<del eID="novel1_letter4_chapter11_div4_div12_p5_del1"/>They had appeared to me rich, because their possessions incomparably transcended mine, but I soon learnt, that many of these advantages were only <del sID="novel1_letter4_chapter11_div4_div12_p5_add1_del1"/>p<del eID="novel1_letter4_chapter11_div4_div12_p5_add1_del1"/> apparent, since their delicate frame made them subject to a thousand wants of 
C18_app194				the 	the 
C18_app195				winter<del rend="strikethrough" sID="c57-0018__main__d3e3646"/>They often had hardly any<del eID="c57-0018__main__d3e3646"/><lb n="c57-0018__main__7"/> 	existence of <pb n="56"/> which I was entirely ignorant. 
C18_app196	Their nourishment consisted entirely of 	Their nourishment consisted entirely of 	Their nourishment consisted entirely of 	their nourishment consisted entirely of 	Their nourishment consisted entirely of 
C18_app197				bread <lb n="c57-0018__main__8"/><del rend="strikethrough" sID="c57-0018__main__d3e3654"/>and –<del eID="c57-0018__main__d3e3654"/> 	
C18_app198	the vegetables of their 	the vegetables of their 	the vegetables of their 	the vegetables of their 	the vegetables of their 
C18_app199	garden, 	garden, 	garden, 	garden 	garden, 
C18_app200	and the 	and the 	and the 	and the 	and the 
C18_app201				<lb n="c57-0018__main__9"/> 	
C18_app202	milk of one 	milk of one 	milk of one 	milk of one 	milk of one 
C18_app203	cow, 	cow, 	cow, 	cow 	cow, 
C18_app204	who 	who 	which 	which 	who 
C18_app205	gave very little 	gave very little 	gave very little 	gave very little 	gave very little 
C18_app206				<lb n="c57-0018__main__10"/> 	
C18_app207	during the 	during the 	during the 	during the 	during the 
C18_app208	winter, 	winter, 	winter, 	<del rend="strikethrough" sID="c57-0018__main__d3e3661"/>hard<del eID="c57-0018__main__d3e3661"/><del rend="strikethrough" sID="c57-0018__main__d3e3664"/>monthes<del eID="c57-0018__main__d3e3664"/> winter 	winter, 
C18_app209	when 	when 	when 	when 	when 
C18_app210				<lb n="c57-0018__main__11"/><del rend="strikethrough" sID="c57-0018__main__d3e3670"/>the<del eID="c57-0018__main__d3e3670"/> 	
C18_app211	its masters could 	its masters could 	its masters could 	its masters could 	its masters could 
