App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C16_app226	surmount the	surmount the	surmount the	surmount the	surmount the
C16_app227	perpedicularity	perpendicularity	perpendicularity	perpendicularity	perpendicularity
C16_app228	of	of	of	of	of
C16_app229	<lb n="c56-0120__main__24"/>				
C16_app230	the	the	the	the	the
C16_app231	mountains–	<pb n="019" xml:id="F1818_v2_023"/>mountain.	<pb n="019" xml:id="F1818_v2_023"/>mountain.	<pb n="200" xml:id="F1823_v1_219"/>mountain.	mountain.
C16_app232	It is a scene	It is a scene	It is a scene	It is a scene	It is a scene
C16_app233	terrifical <lb n="c56-0120__main__25"/> ly	terrifically	terrifically	terrifically	terrifically
C16_app234	desolate. In a thousand	desolate. In a thousand	desolate. In a thousand	desolate. In a thousand	desolate. In a thousand
C16_app235	places	spots	spots	spots	spots
C16_app236	the	the	the	the	the
C16_app237	<lb n="c56-0120__main__26"/>				
C16_app238	traces of the winter	traces of the winter	traces of the winter	traces of the winter	traces of the winter
C16_app239	avelanche	avelanche	avelanche	avelânche	avalanche
C16_app240	may	may	may	may	may
C16_app241	<lb n="c56-0120__main__27"/>				
C16_app242	be	be	be	be	be
C16_app243	perceived	perceived,	perceived,	perceived,	perceived,
C16_app244	where trees lie broken	where trees lie broken	where trees lie broken	where trees lie broken	where trees lie broken
C16_app245	<lb n="c56-0120__main__28"/>				
C16_app246	and strewed on the ground; some	and strewed on the ground; some	and strewed on the ground; some	and strewed on the ground; some	and strewed on the ground; some
C16_app247	<lb n="c56-0120__main__29"/>				
C16_app248	entirely	entirely	entirely	entirely	entirely
C16_app249	destroyed	destroyed,	destroyed,	destroyed,	destroyed,
C16_app250	others	others	others	others	others
C16_app251	bent	bent,	bent,	bent,	bent,
C16_app252	leaning<lb n="c56-0121__main__1"/> upon	leaning upon	leaning upon	leaning upon	leaning upon
C16_app253	<del rend="strikethrough" sID="c56-0121__main__d2e25478"/>juts in<del eID="c56-0121__main__d2e25478"/>				
C16_app254	the jutting	the jutting	the jutting	the jutting	the jutting
C16_app255	<del rend="strikethrough" sID="c56-0121__main__d2e25483"/>corners<del eID="c56-0121__main__d2e25483"/>rocks	rocks	rocks	rocks	rocks
C16_app256	of the	of the	of the	of the	of the
C16_app257	<lb n="c56-0121__main__2"/>				
